"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","species_name","algorithm","run","partition","presencenb","absencenb","correlation","pvaluecor","AUC","AUC_pval","AUCratio","pROC","pROC_pval","TSSmax","KAPPAmax","dismo_threshold","prevalence.value","PPP","NPP","TPR","TNR","FPR","FNR","CCR","Kappa","F_score","Jaccard"
"1",0.33323333,0.33323333,-1e-04,0.33333333,0.11101111,0.11101111,"tacinga_funalis","bioclim",1,1,5,10,0.106600358177805,0.705338238160264,0.48,NA,0.96,1.99890642087174,0,0.2,0.25,"spec_sens",0.333333333333333,1,0.714285714285714,0.2,1,0,0.8,0.733333333333333,0.25,0.333333333333333,0.2
"2",0.76786408,0.76786408,0.01035528,0.31059425,0.48204316,0.09887252,"tacinga_funalis","glm",1,1,5,10,0.0928890101421372,0.741959262504308,0.6,NA,1.2,1.87486780567449,0,0.3,0.333333333333333,"spec_sens",0.333333333333333,0.666666666666667,0.75,0.4,0.9,0.1,0.6,0.733333333333333,0.333333333333333,0.5,0.333333333333333
"3",0.24373488,0.24373488,0.24373488,0.29453683,0.52930074,0.29453683,"tacinga_funalis","maxnet",1,1,5,10,-0.126438018388841,0.653417937920605,0.44,NA,0.88,1.86879965655255,0,0.2,0.142857142857143,"spec_sens",0.333333333333333,0.384615384615385,1,1,0.2,0.8,0,0.466666666666667,0.142857142857143,0.555555555555556,0.384615384615385
"4",0.1999,0.1999,-1e-04,0.2001,0.1999,0.1999,"tacinga_funalis","bioclim",1,2,4,10,0.193649167310371,0.507113615626731,0.5625,NA,1.125,1.98510588782872,0,0.15,0.176470588235294,"spec_sens",0.285714285714286,0.5,0.75,0.25,0.9,0.1,0.75,0.714285714285714,0.176470588235294,0.333333333333333,0.2
"5",0.32894069,0.32894069,0.16668669,0.2796069,0.22744071,0.19704605,"tacinga_funalis","glm",1,2,4,10,0.542010906780911,0.0452650979983044,0.8,NA,1.6,1.51120442669633,0,0.65,0.65,"spec_sens",0.285714285714286,0.75,0.9,0.75,0.9,0.1,0.25,0.857142857142857,0.65,0.75,0.6
"6",0.56051047,0.56051047,0.37576217,0.28886337,0.44146841,0.39355455,"tacinga_funalis","maxnet",1,2,4,10,0.564027702823659,0.0356513150770087,0.825,NA,1.65,1.76782107373963,0,0.65,0.65,"spec_sens",0.285714285714286,0.75,0.9,0.75,0.9,0.1,0.25,0.857142857142857,0.65,0.75,0.6
"7",0.44434444,0.44434444,-1e-04,0.44434444,0.44434444,0.44434444,"tacinga_funalis","bioclim",1,3,5,10,0.377964473009227,0.164823445356845,0.6,NA,1.2,1.99719035354718,0,0.2,0.25,"spec_sens",0.333333333333333,1,0.714285714285714,0.2,1,0,0.8,0.733333333333333,0.25,0.333333333333333,0.2
"8",0.36806244,0.20682019,0.01008392,0.36806244,0.2668143,0.04097697,"tacinga_funalis","glm",1,3,5,10,0.155927020081858,0.57894614322163,0.56,NA,1.12,1.59995922478161,0,0.3,0.285714285714286,"spec_sens",0.333333333333333,0.444444444444444,0.833333333333333,0.8,0.5,0.5,0.2,0.6,0.25,0.571428571428571,0.4
"9",0.43363922,0.43363922,0.33341266,0.33341266,0.48366053,0.37071876,"tacinga_funalis","maxnet",1,3,5,10,0.0958470598360152,0.73401222554556,0.6,NA,1.2,1.57460242744894,0,0.4,0.347826086956522,"spec_sens",0.333333333333333,0.5,0.857142857142857,0.8,0.6,0.4,0.2,0.666666666666667,0.347826086956522,0.615384615384615,0.444444444444444
